Currency,Asks MEXC,Bids MEXC,Asks GateIo,Bids GateIo,Asks HUOBI,Bids HUOBI,Asks Ascendex,Bids Ascendex,diff,diff,diff,diff,diff,diff
JOE,u,u,0.36713,0.36674,0.367,0.3664,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.199%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
OMI,u,u,0.0005754,0.0005697,u,u,0.0005685,0.000568,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,Ask:GateIo/Bid:Ascendex: 1.302%,HUOBI/Ascendex: unavailable
POLYX,0.1728,0.1725,0.1733,0.1729,0.1734,0.1728,u,u,Ask:GateIo/Bid:MEXC: 0.463%,Ask:HUOBI/Bid:MEXC: 0.521%,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.289%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
OMG,1.003,1.002,1.0034,1.0021,1.003,1.0019,u,u,Ask:GateIo/Bid:MEXC: 0.139%,Ask:MEXC/Bid:HUOBI: 0.109%,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.149%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
XIN,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
EVMOS,u,u,u,u,0.2686,0.2653,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ELF,u,u,0.29585,0.29291,0.2952,0.2948,0.29675,0.29471,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.781%,Ask:Ascendex/Bid:GateIo: 1.310%,Ask:Ascendex/Bid:HUOBI: 0.661%
BLID,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
COMBO,u,u,0.035308,0.034829,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
DHX,u,u,4.1229,4.1092,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
UMA,2.862,2.86,2.9332,2.9218,2.9286,2.9168,u,u,Ask:GateIo/Bid:MEXC: 2.559%,Ask:HUOBI/Bid:MEXC: 2.398%,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.562%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
TRIBE,u,u,0.304,0.2973,0.3043,0.2969,unavailable,unavailable,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 2.391%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
KAVA,u,u,0.7416,0.7392,0.7412,0.7409,0.7411,0.7385,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.270%,Ask:GateIo/Bid:Ascendex: 0.419%,Ask:HUOBI/Bid:Ascendex: 0.365%
CTSI,u,u,0.1982,0.1976,0.198,0.1976,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.303%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ANT,3.02,3.019,3.0232,3.0196,3.0213,3.0205,u,u,Ask:GateIo/Bid:MEXC: 0.139%,Ask:HUOBI/Bid:MEXC: 0.076%,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.089%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
SCRT,0.5767,0.5766,0.5789,0.5751,0.5811,0.5765,u,u,Ask:GateIo/Bid:MEXC: 0.398%,Ask:HUOBI/Bid:MEXC: 0.780%,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 1.043%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
RIF,u,u,0.142985,0.142181,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
RLC,u,u,1.7729,1.7646,1.7692,1.7685,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.260%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
METIS,u,u,28.222,28.205,28.262,28.1589,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.224%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
CEL,u,u,0.26798,0.26684,0.2707,0.2661,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 1.446%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
EWT,u,u,2.4455,2.4389,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
GNS,u,u,5.4495,5.4378,5.4495,5.4346,5.474,5.418,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.274%,Ask:Ascendex/Bid:GateIo: 0.665%,Ask:Ascendex/Bid:HUOBI: 0.724%
CANTO,0.23,0.229,0.23164,0.22672,u,u,u,u,Ask:MEXC/Bid:GateIo: 1.446%,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
DEXE,u,u,2.8385,2.8066,2.8239,2.8118,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.949%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
WAXL,u,u,0.57888,0.57862,0.57899,0.57811,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.133%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
MIM,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
DGB,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
HFT,u,u,0.50931,0.50896,0.5091,0.5083,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.198%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
APPI3,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
PLA,u,u,0.2037,0.2028,0.2034,0.2028,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.443%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
FXS,u,u,7.51,7.496,u,u,7.551,7.469,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,Ask:Ascendex/Bid:GateIo: 0.733%,HUOBI/Ascendex: unavailable
KNC,u,u,0.6588,0.6557,0.6579,0.657,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.335%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ERG,u,u,1.5297,1.5275,1.5453,1.5309,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 1.165%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
EVER,u,u,0.051436,0.051419,0.0515,0.0512,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.460%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
SNT,u,u,0.02618,0.02602,0.026416,0.026075,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 1.521%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
MSOL,u,u,24.595,24.015,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
RDNT,0.3858,0.3857,0.38645,0.38593,0.3907,0.3848,u,u,Ask:GateIo/Bid:MEXC: 0.194%,Ask:HUOBI/Bid:MEXC: 1.296%,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 1.235%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
SGB,u,u,0.008262,0.008231,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
TRAC,u,u,u,u,0.3191,0.3156,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
MC,u,u,0.26264,0.26182,0.2671,0.2605,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 2.016%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
PEOPLE,0.01993,0.01992,0.019948,0.01992,0.019952,0.019936,u,u,Ask:GateIo/Bid:MEXC: 0.140%,Ask:HUOBI/Bid:MEXC: 0.160%,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.160%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ALICE,1.465,1.464,1.4689,1.4623,1.4653,1.4637,u,u,Ask:GateIo/Bid:MEXC: 0.334%,Ask:HUOBI/Bid:MEXC: 0.088%,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.355%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
FLEX,u,u,u,u,u,u,2.16261,2.13895,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ABBC,u,u,0.102699,0.102102,0.1022,0.1018,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.883%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
MLK,u,u,0.34221,0.33488,0.3432,0.3393,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 2.484%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
HOOK,1.629,1.628,1.62982,1.62846,u,u,1.6375,1.6206,Ask:GateIo/Bid:MEXC: 0.111%,MEXC/HUOBI: unavailable,Ask:Ascendex/Bid:MEXC: 0.583%,GateIo/HUOBI: unavailable,Ask:GateIo/Bid:Ascendex: 0.568%,HUOBI/Ascendex: unavailable
SLP,0.00244,0.00243,0.0024399,0.0024355,u,u,u,u,Ask:GateIo/Bid:MEXC: 0.407%,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
NMR,u,u,15.5587,15.5142,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ALICE,u,u,1.4689,1.4623,1.4653,1.4637,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.355%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
RBN,u,u,0.1613,0.161,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
SYS,u,u,0.13635,0.13538,0.1372,0.1358,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 1.344%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
XNO,0.7721,0.7714,u,u,0.000552,0.00053,u,u,MEXC/GateIo: unavailable,Ask:MEXC/Bid:HUOBI: 14557%,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
C98,0.2163,0.2162,0.21644,0.2161,0.2161,0.216,0.218,0.215,Ask:GateIo/Bid:MEXC: 0.111%,Ask:MEXC/Bid:HUOBI: 0.138%,Ask:Ascendex/Bid:MEXC: 0.832%,Ask:GateIo/Bid:HUOBI: 0.203%,Ask:Ascendex/Bid:GateIo: 0.879%,Ask:Ascendex/Bid:HUOBI: 0.925%
GTC,1.626,1.625,0.0005104,0.0005056,u,u,u,u,Ask:MEXC/Bid:GateIo: 32149%,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
BLD,u,u,u,u,0.2069,0.2024,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
LOCUS,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
MRS,u,u,u,u,1.5343,1.4747,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
COTI,u,u,0.07637,0.07606,0.0749,0.0746,0.076994,0.07582,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 2.372%,Ask:Ascendex/Bid:GateIo: 1.227%,Ask:Ascendex/Bid:HUOBI: 3.209%
GLR,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
XVS,5.404,5.403,5.4145,5.3922,u,u,u,u,Ask:MEXC/Bid:GateIo: 0.218%,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
DENT,0.000908,0.000907,0.0009084,0.00090516,u,u,u,u,Ask:MEXC/Bid:GateIo: 0.313%,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
SFM,u,u,0.0001454,0.0001453,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
REN,u,u,0.08507,0.08487,0.085098,0.084912,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.268%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
WCFG,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
DERO,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
DAG,u,u,0.03568,0.03564,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
MBOX,u,u,0.45859,0.45681,0.4593,0.4577,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.545%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
KWENTA,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
CFG,u,u,0.2058,0.2051,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ARDR,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ORBS,u,u,0.029143,0.028805,0.029125,0.028923,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 1.110%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
CHR,0.1464,0.1463,0.1465,0.14615,0.146445,0.146412,0.1474,0.14547,Ask:MEXC/Bid:GateIo: 0.171%,Ask:HUOBI/Bid:MEXC: 0.099%,Ask:Ascendex/Bid:MEXC: 0.751%,Ask:HUOBI/Bid:GateIo: 0.201%,Ask:Ascendex/Bid:GateIo: 0.855%,Ask:Ascendex/Bid:HUOBI: 0.674%
DKA,u,u,0.03395,0.03377,0.033606,0.033265,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 2.059%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
RAD,2.837,2.836,2.847,2.8394,2.8465,2.8335,u,u,Ask:GateIo/Bid:MEXC: 0.387%,Ask:HUOBI/Bid:MEXC: 0.370%,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.476%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
STEEM,u,u,0.2117,0.2098,0.2109,0.2106,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.524%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
AVINOC,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
PROM,u,u,4.8547,4.835,4.88,4.8611,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.930%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
MED,u,u,0.015298,0.01515,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ASD,u,u,0.0936,0.0927,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
VTHO,u,u,0.0013423,0.0013322,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
CQT,u,u,0.1473,0.1456,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
KEEP,u,u,unavailable,unavailable,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
PYR,u,u,3.2304,3.221,3.2298,3.2242,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.273%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
CVC,u,u,0.0991,0.09872,0.0993,0.0989,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.587%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
IQ,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
GAL,u,u,1.6014,1.5982,1.5994,1.5983,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.193%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
NEST,u,u,0.015382,0.015029,0.015223,0.015082,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 1.989%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
NYM,u,u,0.21001,0.20643,0.2134,0.2069,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 3.376%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
WIN,u,u,0.00008164,0.00008144,8.16e-05,8.152e-05,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.196%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
STIK,u,u,1.59649,1.56411,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
HEZ,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
PHA,u,u,0.1362,0.1359,0.136017,0.135959,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.177%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
KUJI,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
TOMO,0.9693,0.9692,0.9711,0.9683,u,u,u,u,Ask:GateIo/Bid:MEXC: 0.196%,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
MBX,u,u,1.198,1.1954,1.1986,1.1943,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.309%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
STRAX,u,u,0.5192,0.5179,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
CWEB,u,u,0.026329,0.026291,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
MOB,u,u,0.8406,0.8399,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
BNT,0.4645,0.4643,u,u,0.4651,0.465,u,u,MEXC/GateIo: unavailable,Ask:HUOBI/Bid:MEXC: 0.172%,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
UOS,u,u,0.2401,0.2388,0.2408,0.2401,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.837%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
HUNT,u,u,u,u,0.3671,0.3618,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
CORE,1.19,1.189,1.1891,1.1876,1.188226,1.187729,u,u,Ask:MEXC/Bid:GateIo: 0.202%,Ask:MEXC/Bid:HUOBI: 0.191%,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.115%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
MDX,unavailable,unavailable,0.07533,0.07526,0.0752,0.0751,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.306%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
